half_seconds	series1_bpm	series2_bpm	series3_bpm	series4_bpm
429	87.6693	102.536	60.7832	53.9243
430	88.0848	101.501	61.5391	53.9997
431	90.641	99.6778	62.6242	54.0971
432	91.9066	98.6842	65.2877	54.218
433	93.1219	98.3695	68.0929	54.5145
434	93.1759	96.6559	69.5204	54.7413
435	92.2043	94.9417	71.9423	54.6418
436	91.1155	94.7815	74.219	54.5455
437	89.5742	94.9367	74.8015	54.3006
438	88.2217	92.2468	74.5426	54.0063
439	88.9623	90.7785	74.3579	54.3187
440	91.1344	92.6852	72.3716	54.9138
441	92.6341	92.9815	69.6291	55.2353
442	93.4775	92.5926	69.6291	55.4395
443	93.9811	92.8042	69.6291	55.6981
444	94.7404	93.3543	69.6291	56.2222
445	95.96	94.0162	69.6291	56.6365
446	97.4116	94.3396	69.6291	56.8517
447	99.7615	94.3396	69.6291	57.0188
448	101.351	94.3396	69.6291	56.6972
449	101.123	94.4471	57.9088	56.391
450	99.9982	94.7456	57.3433	56.391
451	97.8726	94.9367	56.6877	56.391
452	95.4913	94.9367	57.2663	57.3543
453	92.6655	94.9367	58.1473	58.5705
454	90.5932	95.216	59.4479	60.3042
455	89.6715	96.1549	61.0027	62.2732
456	88.4337	97.1085	60.6619	65.1688
457	89.2376	97.6674	59.5685	67.8781
458	91.185	98.1818	58.6343	66.5576
459	91.5465	98.5578	57.7257	64.9351
460	90.9202	98.8	58.2703	64.9351
461	90.3614	99.4579	59.5347	63.8283
462	90.3614	99.3579	59.0628	61.0051
463	90.4556	99.2	57.5799	58.6397
464	90.7428	99.8421	56.7533	56.8764
465	91.4802	100	56.2213	56.4064
466	92.229	100	56.4739	59.3896
467	92.5131	100	57.7857	62.7778
468	92.5926	100	58.118	66.6358
469	92.5926	100	56.7022	69.2712
470	92.8318	100.188	55.6139	68.9526
471	93.9316	100.523	54.8087	67.3714
472	95.473	100.612	54.1516	65.5764
473	95.7212	100.277	55.7583	64.8143
474	95.7212	100	57.4182	64.3043
475	95.7212	100.26	57.279	63.3487
476	95.7212	100.4	57.0604	61.9624
477	95.7212	100.268	56.6214	58.9079
478	95.7212	100.53	56.0893	56.4329
479	95.7212	101.074	56.0364	57.3072
480	95.7212	101.009	56.1412	58.1395
481	95.7212	100.949	56.7784	57.4894
482	78.5878	100.862	57.9854	56.8288
483	80.6419	100.541	57.7764	57.0073
484	82.7255	100.968	55.9521	57.2241
485	84.3797	101.308	54.9986	57.0836
